name,url,specialties,hospitals,able_to_book,appointments_next_4_weeks,first_available_days_away
"Dr Alastair  Jones","https://www.nuffieldhealth.com/consultants/dr-alastair-jones","Sport and Exercise Medicine","Leeds Hospital","Yes","5","10"
"Dr Alastair McCance","https://www.nuffieldhealth.com/consultants/dr-alastair-mccance","Cardiology","Derby Hospital","Yes","12","3"
"Dr Aleksander Domanski","https://www.nuffieldhealth.com/consultants/dr-aleksander-domanski","General Practice (GP)","Bournemouth Hospital","No","0","0"
"Dr Alex Simms","https://www.nuffieldhealth.com/consultants/dr-alex-simms","Cardiology","Leeds Hospital","Yes","0","0"
"Dr Alexandra Stewart","https://www.nuffieldhealth.com/consultants/dr-alexandra-stewart","Clinical Oncology","Guildford Hospital","No","0","0"
"Dr Ali Al-Memar","https://www.nuffieldhealth.com/consultants/dr-ali-al-memar","Neurology","Parkside Hospital","Yes","12","7"
"Dr Ali Mohammed","https://www.nuffieldhealth.com/consultants/dr-ali-mohammed","Respiratory Medicine","The Holly Hospital","Yes","29","2"
"Dr Alison Gardiner","https://www.nuffieldhealth.com/consultants/dr-alison-gardiner","General Practice (GP)","Bournemouth Hospital","No","0","0"
"Dr Alison MacDonald","https://www.nuffieldhealth.com/consultants/dr-alison-macdonald","Dermatology","Glasgow Hospital","No","0","0"
"Dr Alissa Walsh","https://www.nuffieldhealth.com/consultants/dr-alissa-walsh","Gastroenterology","Oxford, The Manor Hospital","Yes","6","6"
"Dr Allan Matthews","https://www.nuffieldhealth.com/consultants/dr-allan-matthews","Dermatology","Edinburgh Hospital","Yes","0","0"
"Dr Alok Tyagi","https://www.nuffieldhealth.com/consultants/dr-alok-tyagi","Neurology","Glasgow Hospital","No","0","0"
"Dr Alun Evans","https://www.nuffieldhealth.com/consultants/dr-alun-evans","Dermatology","Cardiff and Vale Hospitals","Yes","0","0"
"Dr Alya Abdul-Wahab","https://www.nuffieldhealth.com/consultants/dr-alya-abdul-wahab","Dermatology","Parkside Hospital","No","0","0"
"Dr Amal Muthumala","https://www.nuffieldhealth.com/consultants/dr-amal-muthumala","Cardiology","Highgate Hospital","No","0","6"
"Dr Amanda Beale","https://www.nuffieldhealth.com/consultants/dr-amanda-beale","Gastroenterology; General (internal) Medicine","Bristol Hospital","Yes","0","0"
"Dr Amanda Woods","https://www.nuffieldhealth.com/consultants/dr-amanda-woods","Dermatology","Parkside Hospital","No","0","0"
"Dr Amar Wahid","https://www.nuffieldhealth.com/consultants/dr-amar-wahid","Paediatrics; Gastroenterology","Cardiff and Vale Hospitals","Yes","0","0"
"Dr Amara  Ezeonyeji","https://www.nuffieldhealth.com/consultants/dr-amara-ezeonyeji","Rheumatology","Guildford Hospital","Yes","7","2"
"Dr Amin Karim","https://www.nuffieldhealth.com/consultants/dr-amin-karim","Dermatology","Chichester Hospital","Yes","10","11"
"Dr Amit Saha","https://www.nuffieldhealth.com/consultants/dr-amit-saha","Rheumatology","Tunbridge Wells Hospital","No","0","11"
"Dr Amit Verma","https://www.nuffieldhealth.com/consultants/dr-amit-verma","Sport and Exercise Medicine","Manchester Institute of Health &amp; Performance (MIHP)","No","0","0"
"Dr Ananth Kidambi","https://www.nuffieldhealth.com/consultants/dr-ananth-kidambi","Cardiology","Leeds Hospital","Yes","10","2"
"Dr Ananth U Nayak","https://www.nuffieldhealth.com/consultants/dr-ananth-u-nayak","Endocrinology and Diabetes Mellitus; General (internal) Medicine","North Staffordshire Hospital","Yes","7","6"
"Dr Ananthakrishnan Raghuram MBE","https://www.nuffieldhealth.com/consultants/dr-ananthakrishnan-raghuram","General (internal) Medicine; Respiratory Medicine","Cheltenham Hospital","No","0","0"
"Dr Anastasios Lekkas","https://www.nuffieldhealth.com/consultants/anastasios-lekkas","Respiratory Medicine","Wessex Hospital","Yes","0","0"
"Dr Andrea Beaton","https://www.nuffieldhealth.com/consultants/dr-andrea-beaton","Paediatrics","Guildford Hospital","No","0","0"
